yourlist:M202109254ABAA9BC7178C81CEBC9459510EDDEA3208C12P,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
hsa:2686,Q9UJ14,GGT7_HUMAN,reviewed,Glutathione hydrolase 7 (EC 3.4.19.13) (Gamma-glutamyltransferase 7) (GGT 7) (EC 2.3.2.2) (Gamma-glutamyltransferase-like 3) (Gamma-glutamyltransferase-like 5) (Gamma-glutamyltranspeptidase 7) [Cleaved into: Glutathione hydrolase 7 heavy chain; Glutathione hydrolase 7 light chain],GGT7 GGTL3 GGTL5,Homo sapiens (Human),662
hsa:2686,A0PJJ9,A0PJJ9_HUMAN,unreviewed,GGT7 protein (Fragment),GGT7,Homo sapiens (Human),592
hsa:2687,P36269,GGT5_HUMAN,reviewed,Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain],GGT5 GGTLA1,Homo sapiens (Human),586
hsa:26873,O14841,OPLA_HUMAN,reviewed,5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase),OPLAH,Homo sapiens (Human),1288
hsa:270,P23109,AMPD1_HUMAN,reviewed,AMP deaminase 1 (EC 3.5.4.6) (AMP deaminase isoform M) (Myoadenylate deaminase),AMPD1,Homo sapiens (Human),780
hsa:27034,Q9UKU7,ACAD8_HUMAN,reviewed,"Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",ACAD8 ARC42 IBD,Homo sapiens (Human),415
hsa:27087,Q9P2W7,B3GA1_HUMAN,reviewed,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)",B3GAT1 GLCATP,Homo sapiens (Human),334
hsa:27089,O14949,QCR8_HUMAN,reviewed,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Homo sapiens (Human),82
hsa:27090,Q9H4F1,SIA7D_HUMAN,reviewed,"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7) (NeuAc-alpha-2,3-Gal-beta-1,3-GalNAc-alpha-2,6-sialyltransferase) (ST6GalNAc IV) (ST6GalNAcIV) (Sialyltransferase 3C) (SIAT3-C) (Sialyltransferase 7D) (SIAT7-D)",ST6GALNAC4 SIAT3C SIAT7D,Homo sapiens (Human),302
hsa:27090,A0A024R881,A0A024R881_HUMAN,unreviewed,"ST6 (Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4, isoform CRA_a",ST6GALNAC4 hCG_2022909,Homo sapiens (Human),302
hsa:271,Q01433,AMPD2_HUMAN,reviewed,AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L),AMPD2,Homo sapiens (Human),879
hsa:2710,P32189,GLPK_HUMAN,reviewed,Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase),GK,Homo sapiens (Human),559
hsa:2710,B4DH54,B4DH54_HUMAN,unreviewed,Glycerol kinase (EC 2.7.1.30),,Homo sapiens (Human),354
hsa:27115,Q9NP56,PDE7B_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B (EC 3.1.4.53)",PDE7B,Homo sapiens (Human),450
hsa:2712,Q14410,GLPK2_HUMAN,reviewed,"Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)",GK2 GKP2 GKTA,Homo sapiens (Human),553
hsa:2712,A0A140VKG0,A0A140VKG0_HUMAN,unreviewed,Glycerol kinase (EC 2.7.1.30),,Homo sapiens (Human),553
hsa:27124,Q15735,PI5PA_HUMAN,reviewed,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.56) (Inositol polyphosphate 5-phosphatase J)",INPP5J PIB5PA PIPP,Homo sapiens (Human),1006
hsa:27124,B4DF95,B4DF95_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (cDNA FLJ59315, highly similar to Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A)",INPP5J,Homo sapiens (Human),939
hsa:27159,Q9BZP6,CHIA_HUMAN,reviewed,Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Lung-specific protein TSA1902),CHIA,Homo sapiens (Human),476
hsa:27159,A8K3T7,A8K3T7_HUMAN,unreviewed,Chitinase (EC 3.2.1.14),,Homo sapiens (Human),368
hsa:27165,Q9UI32,GLSL_HUMAN,reviewed,"Glutaminase liver isoform, mitochondrial (GLS) (EC 3.5.1.2) (L-glutaminase) (L-glutamine amidohydrolase)",GLS2 GA,Homo sapiens (Human),602
hsa:2717,P06280,AGAL_HUMAN,reviewed,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (EC 3.2.1.47) (Melibiase) (Agalsidase),GLA,Homo sapiens (Human),429
hsa:2717,Q53Y83,Q53Y83_HUMAN,unreviewed,Alpha-galactosidase (EC 3.2.1.-),GLA hCG_20401,Homo sapiens (Human),429
hsa:272,Q01432,AMPD3_HUMAN,reviewed,AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase),AMPD3,Homo sapiens (Human),767
hsa:2720,P16278,BGAL_HUMAN,reviewed,Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1),GLB1 ELNR1,Homo sapiens (Human),677
hsa:27231,Q9NPI5,NRK2_HUMAN,reviewed,Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2),NMRK2 ITGB1BP3 NRK2,Homo sapiens (Human),230
hsa:27232,Q14749,GNMT_HUMAN,reviewed,Glycine N-methyltransferase (EC 2.1.1.20),GNMT,Homo sapiens (Human),295
hsa:27232,V9HW60,V9HW60_HUMAN,unreviewed,Glycine N-methyltransferase (EC 2.1.1.20),HEL-S-182mP GNMT,Homo sapiens (Human),295
hsa:27294,Q9UQ10,DHDH_HUMAN,reviewed,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase) (Hum2DD)",DHDH 2DD,Homo sapiens (Human),334
hsa:27306,O60760,HPGDS_HUMAN,reviewed,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),HPGDS GSTS PGDS PTGDS2,Homo sapiens (Human),199
hsa:27306,A0A384P5J0,A0A384P5J0_HUMAN,unreviewed,Epididymis secretory sperm binding protein,,Homo sapiens (Human),199
hsa:2731,P23378,GCSP_HUMAN,reviewed,"Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))",GLDC GCSP,Homo sapiens (Human),1020
hsa:27349,Q8IVS2,FABD_HUMAN,reviewed,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyl CoA:ACP acyltransferase) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)",MCAT MT,Homo sapiens (Human),390
hsa:2739,Q04760,LGUL_HUMAN,reviewed,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),GLO1,Homo sapiens (Human),184
hsa:2739,X5DNM4,X5DNM4_HUMAN,unreviewed,Lactoylglutathione lyase (EC 4.4.1.5) (Glyoxalase I) (Fragment),GLO1 hCG_32350,Homo sapiens (Human),184
hsa:2744,O94925,GLSK_HUMAN,reviewed,"Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]",GLS GLS1 KIAA0838,Homo sapiens (Human),669
hsa:2746,P00367,DHE3_HUMAN,reviewed,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)",GLUD1 GLUD,Homo sapiens (Human),558
hsa:2746,E9KL48,E9KL48_HUMAN,unreviewed,Glutamate dehydrogenase (NAD(P)(+)) (EC 1.4.1.3),GLUD1 hCG_1993805,Homo sapiens (Human),558
hsa:2747,P49448,DHE4_HUMAN,reviewed,"Glutamate dehydrogenase 2, mitochondrial (GDH 2) (EC 1.4.1.3)",GLUD2 GLUDP1,Homo sapiens (Human),558
hsa:2747,A0A140VK14,A0A140VK14_HUMAN,unreviewed,Glutamate dehydrogenase (NAD(P)(+)) (EC 1.4.1.3),,Homo sapiens (Human),558
hsa:275,P48728,GCST_HUMAN,reviewed,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)",AMT GCST,Homo sapiens (Human),403
hsa:275,A0A024R2U7,A0A024R2U7_HUMAN,unreviewed,Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),hCG_2001997,Homo sapiens (Human),403
hsa:2752,P15104,GLNA_HUMAN,reviewed,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),GLUL GLNS,Homo sapiens (Human),373
hsa:2752,A8YXX4,A8YXX4_HUMAN,unreviewed,Glutamine synthetase (EC 6.3.1.2),PIG59 GLUL hCG_24393,Homo sapiens (Human),373
hsa:276,Q6NSB3,Q6NSB3_HUMAN,unreviewed,Alpha-amylase (EC 3.2.1.1) (Fragment),AMY1A,Homo sapiens (Human),495
hsa:2762,O60547,GMDS_HUMAN,reviewed,"GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)",GMDS,Homo sapiens (Human),372
hsa:2766,P36959,GMPR1_HUMAN,reviewed,GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1),GMPR GMPR1,Homo sapiens (Human),345
"hsa:276,hsa:277,hsa:278",P0DTE7,AMY1B_HUMAN,reviewed,Alpha-amylase 1B (EC 3.2.1.1),AMY1B AMY1,Homo sapiens (Human),511
"hsa:276,hsa:277,hsa:278",P0DTE8,AMY1C_HUMAN,reviewed,Alpha-amylase 1C (EC 3.2.1.1),AMY1C AMY1,Homo sapiens (Human),511
"hsa:276,hsa:277,hsa:278",P0DUB6,AMY1A_HUMAN,reviewed,"Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)",AMY1A AMY1,Homo sapiens (Human),511
hsa:279,P04746,AMYP_HUMAN,reviewed,"Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",AMY2A,Homo sapiens (Human),511
hsa:279,Q53F26,Q53F26_HUMAN,unreviewed,Alpha-amylase (EC 3.2.1.1) (Fragment),,Homo sapiens (Human),511
hsa:2799,P15586,GNS_HUMAN,reviewed,N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S),GNS,Homo sapiens (Human),552
hsa:2799,A0A024RBC5,A0A024RBC5_HUMAN,unreviewed,N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase),GNS hCG_1640559,Homo sapiens (Human),552
hsa:2799,Q7Z3X3,Q7Z3X3_HUMAN,unreviewed,N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase),DKFZp686E12166,Homo sapiens (Human),496
hsa:28,P16442,BGAT_HUMAN,reviewed,Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form],ABO,Homo sapiens (Human),354
hsa:28,A0A089QDC1,A0A089QDC1_HUMAN,unreviewed,Histo-blood group ABO system transferase,ABO,Homo sapiens (Human),354
hsa:280,P19961,AMY2B_HUMAN,reviewed,"Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)",AMY2B,Homo sapiens (Human),511
hsa:2805,P17174,AATC_HUMAN,reviewed,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",GOT1,Homo sapiens (Human),413
hsa:2805,A0A140VK69,A0A140VK69_HUMAN,unreviewed,Aspartate aminotransferase (EC 2.6.1.1),,Homo sapiens (Human),413
hsa:2806,P00505,AATM_HUMAN,reviewed,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",GOT2 KYAT4,Homo sapiens (Human),430
hsa:2821,P06744,G6PI_HUMAN,reviewed,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,Homo sapiens (Human),558
hsa:2822,P80108,PHLD_HUMAN,reviewed,Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D),GPLD1 PIGPLD1,Homo sapiens (Human),840
hsa:283208,Q7Z4N8,P4HA3_HUMAN,reviewed,"Prolyl 4-hydroxylase subunit alpha-3 (4-PH alpha-3) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-3)",P4HA3 UNQ711/PRO1374,Homo sapiens (Human),544
hsa:283209,Q6PCE3,PGM2L_HUMAN,reviewed,"Glucose 1,6-bisphosphate synthase (EC 2.7.1.106) (PMMLP) (Phosphoglucomutase-2-like 1)",PGM2L1 BM32A,Homo sapiens (Human),622
hsa:283358,Q6L9W6,B4GN3_HUMAN,reviewed,"Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)",B4GALNT3,Homo sapiens (Human),998
hsa:283358,Q8N9V0,Q8N9V0_HUMAN,unreviewed,"cDNA FLJ36184 fis, clone TESTI2026925 (Fragment)",,Homo sapiens (Human),637
hsa:283459,O43716,GATC_HUMAN,reviewed,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-) (Protein 15E1.2)",GATC 15E1.2,Homo sapiens (Human),136
hsa:283748,Q86XP0,PA24D_HUMAN,reviewed,Cytosolic phospholipase A2 delta (cPLA2-delta) (EC 3.1.1.4) (Phospholipase A2 group IVD),PLA2G4D,Homo sapiens (Human),818
hsa:283871,A6NDG6,PGP_HUMAN,reviewed,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),PGP,Homo sapiens (Human),321
hsa:284004,Q8WVB3,HEXD_HUMAN,reviewed,Hexosaminidase D (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase D) (Hexosaminidase domain-containing protein) (N-acetyl-beta-galactosaminidase),HEXD HEXDC,Homo sapiens (Human),486
hsa:284098,Q7Z7B1,PIGW_HUMAN,reviewed,Phosphatidylinositol-glycan biosynthesis class W protein (PIG-W) (EC 2.3.-.-),PIGW,Homo sapiens (Human),504
hsa:284716,Q8IXN7,RIMKA_HUMAN,reviewed,N-acetylaspartylglutamate synthase A (NAAG synthetase A) (NAAGS) (EC 6.3.2.41) (N-acetylaspartylglutamylglutamate synthase A) (EC 6.3.2.42) (Ribosomal protein S6 modification-like protein A),RIMKLA FAM80A,Homo sapiens (Human),391
hsa:2875,P24298,ALAT1_HUMAN,reviewed,Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1),GPT AAT1 GPT1,Homo sapiens (Human),496
hsa:2876,P07203,GPX1_HUMAN,reviewed,Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase),GPX1,Homo sapiens (Human),203
hsa:2876,Q7L4Q3,Q7L4Q3_HUMAN,unreviewed,Glutathione peroxidase,GPX1,Homo sapiens (Human),203
hsa:2877,P18283,GPX2_HUMAN,reviewed,Glutathione peroxidase 2 (GPx-2) (GSHPx-2) (EC 1.11.1.9) (Gastrointestinal glutathione peroxidase) (Glutathione peroxidase-gastrointestinal) (GPx-GI) (GSHPx-GI) (Glutathione peroxidase-related protein 2) (GPRP-2),GPX2,Homo sapiens (Human),190
hsa:2878,P22352,GPX3_HUMAN,reviewed,Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P),GPX3 GPXP,Homo sapiens (Human),226
hsa:2879,P36969,GPX4_HUMAN,reviewed,Phospholipid hydroperoxide glutathione peroxidase (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4),GPX4,Homo sapiens (Human),197
hsa:2880,O75715,GPX5_HUMAN,reviewed,Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5),GPX5,Homo sapiens (Human),221
hsa:2880,V9HWN8,V9HWN8_HUMAN,unreviewed,Glutathione peroxidase,HEL-S-75p GPX5 hCG_22448,Homo sapiens (Human),221
hsa:2882,Q96SL4,GPX7_HUMAN,reviewed,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9) (CL683),GPX7 GPX6 UNQ469/PRO828,Homo sapiens (Human),187
hsa:290,P15144,AMPN_HUMAN,reviewed,Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13),ANPEP APN CD13 PEPN,Homo sapiens (Human),967
hsa:290,A0A024RC61,A0A024RC61_HUMAN,unreviewed,Aminopeptidase (EC 3.4.11.-),ANPEP hCG_27217,Homo sapiens (Human),967
hsa:290,Q59E93,Q59E93_HUMAN,unreviewed,Aminopeptidase (EC 3.4.11.-) (Fragment),,Homo sapiens (Human),977
hsa:29071,Q96EU7,C1GLC_HUMAN,reviewed,"C1GALT1-specific chaperone 1 (C38H2-like protein 1) (C38H2-L1) (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone)",C1GALT1C1 COSMC HSPC067 MSTP143 UNQ273/PRO310,Homo sapiens (Human),318
hsa:29072,Q9BYW2,SETD2_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP),SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069,Homo sapiens (Human),2564
hsa:2936,P00390,GSHR_HUMAN,reviewed,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",GSR GLUR GRD1,Homo sapiens (Human),522
hsa:2936,V9HW90,V9HW90_HUMAN,unreviewed,Glutathione reductase (EC 1.8.1.7),HEL-75 HEL-S-122m,Homo sapiens (Human),522
hsa:2938,P08263,GSTA1_HUMAN,reviewed,"Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]",GSTA1,Homo sapiens (Human),222
hsa:2938,A0A140VJK4,A0A140VJK4_HUMAN,unreviewed,Glutathione S-transferase (EC 2.5.1.18),,Homo sapiens (Human),222
hsa:2939,P09210,GSTA2_HUMAN,reviewed,Glutathione S-transferase A2 (EC 2.5.1.18) (GST HA subunit 2) (GST class-alpha member 2) (GST-gamma) (GSTA2-2) (GTH2),GSTA2 GST2,Homo sapiens (Human),222
hsa:2939,A0A140VKE2,A0A140VKE2_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18),GSTA2 hCG_1779105,Homo sapiens (Human),222
hsa:2939,A8K987,A8K987_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18),,Homo sapiens (Human),222
hsa:2940,Q16772,GSTA3_HUMAN,reviewed,Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3),GSTA3,Homo sapiens (Human),222
hsa:2941,O15217,GSTA4_HUMAN,reviewed,Glutathione S-transferase A4 (EC 2.5.1.18) (GST class-alpha member 4) (Glutathione S-transferase A4-4),GSTA4,Homo sapiens (Human),222
hsa:2941,A0A024RD58,A0A024RD58_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18),GSTA4 hCG_21940,Homo sapiens (Human),222
hsa:2944,P09488,GSTM1_HUMAN,reviewed,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4),GSTM1 GST1,Homo sapiens (Human),218
hsa:2944,X5DR03,X5DR03_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18) (Fragment),GSTM1,Homo sapiens (Human),218
hsa:2946,P28161,GSTM2_HUMAN,reviewed,Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2),GSTM2 GST4,Homo sapiens (Human),218
hsa:2946,A0A384P5E9,A0A384P5E9_HUMAN,unreviewed,Glutathione S-transferase (EC 2.5.1.18),hCG_2039123,Homo sapiens (Human),218
hsa:2946,Q0D2I8,Q0D2I8_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18),GSTM2,Homo sapiens (Human),218
hsa:2947,P21266,GSTM3_HUMAN,reviewed,Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3),GSTM3 GST5,Homo sapiens (Human),225
hsa:2947,Q6FGJ9,Q6FGJ9_HUMAN,unreviewed,Glutathione S-transferase (EC 2.5.1.18),GSTM3 hCG_40244,Homo sapiens (Human),225
hsa:2948,Q03013,GSTM4_HUMAN,reviewed,Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GST-Mu2) (GSTM4-4) (Leukotriene C4 synthase GSTM4) (EC 4.4.1.20),GSTM4,Homo sapiens (Human),218
hsa:2948,A0A140VKE3,A0A140VKE3_HUMAN,unreviewed,Glutathione transferase (EC 2.5.1.18),,Homo sapiens (Human),218
hsa:2949,P46439,GSTM5_HUMAN,reviewed,Glutathione S-transferase Mu 5 (EC 2.5.1.18) (GST class-mu 5) (GSTM5-5),GSTM5,Homo sapiens (Human),218
hsa:2949,Q5T8R2,Q5T8R2_HUMAN,unreviewed,Glutathione S-transferase (EC 2.5.1.18),GSTM5 hCG_40245,Homo sapiens (Human),218
hsa:2950,P09211,GSTP1_HUMAN,reviewed,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1),GSTP1 FAEES3 GST3,Homo sapiens (Human),210
hsa:2950,V9HWE9,V9HWE9_HUMAN,unreviewed,GST class-pi (EC 2.5.1.18),HEL-S-22 GSTP1 hCG_21055,Homo sapiens (Human),210
hsa:2952,P30711,GSTT1_HUMAN,reviewed,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1) (Glutathione transferase T1-1),GSTT1,Homo sapiens (Human),240
hsa:2953,P0CG29,GST2_HUMAN,reviewed,Glutathione S-transferase theta-2 (EC 2.5.1.18) (GST class-theta-2),GSTT2,Homo sapiens (Human),244
hsa:2954,O43708,MAAI_HUMAN,reviewed,Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18),GSTZ1 MAAI,Homo sapiens (Human),216
hsa:2954,A0A0C4DFM0,A0A0C4DFM0_HUMAN,unreviewed,Maleylacetoacetate isomerase (EC 5.2.1.2),GSTZ1 hCG_22265,Homo sapiens (Human),216
hsa:2977,P33402,GCYA2_HUMAN,reviewed,Guanylate cyclase soluble subunit alpha-2 (GCS-alpha-2) (EC 4.6.1.2),GUCY1A2 GUC1A2 GUCSA2,Homo sapiens (Human),732
hsa:29785,Q96SQ9,CP2S1_HUMAN,reviewed,Cytochrome P450 2S1 (EC 1.14.14.-) (CYPIIS1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Thromboxane-A synthase) (EC 5.3.99.5),CYP2S1 UNQ891/PRO1906,Homo sapiens (Human),504
